class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,owner,pos
Class 4,2yo,1006,Good,10,5,Ma Yoram (USA),2,G,126,Frankie Dettori,Mick Channon,–,86,Sheikh Ahmed Al Maktoum,1
Class 4,2yo,1006,Good,10,2,Coco De Mer (GB),2,G,126,Fergus Sweeney,Alan Jarvis,–,74,Ms Julie Greenacre,2
Class 4,2yo,1006,Good,10,8,Saafend Boy (GB),2,C,126,Dane ONeill,Richard Hannon Snr,–,73,J B R Leisuresouth Western Partnership,3
Class 4,2yo,1006,Good,10,7,NiagaraI (IRE),2,G,126,Steve Drowne,Mark H Tompkins,–,72,Miss D J Merson,4
Class 4,2yo,1006,Good,10,10,Sians Millennium (GB),2,F,118,Gavin Faulkner,Bryn Palling,–,63,John Harris And Mrs Sian Harris,5
Class 4,2yo,1006,Good,10,3,Ignite (IRE),2,G,126,Kieren Fallon,G Lewis,–,56,Highclere Thoroughbred Racing Ltd,6
Class 4,2yo,1006,Good,10,4,Master Jones (GB),2,G,126,Pat Eddery,Linda Stubbs,–,55,Maurice Parker,7
Class 4,2yo,1006,Good,10,6,Muffin Man (GB),2,C,126,R Perham,Mark Usher,–,54,Miss D G Kerr,8
Class 4,2yo,1006,Good,10,9,Damasquiner (GB),2,F,121,Pat McCabe,Ted Powell,–,46,Miss P I Westbrook,9
Class 4,2yo,1006,Good,10,1,Arcadian Chief (GB),2,G,126,John Reid,K T Ivory,–,–,M Z Tarlowski,10
Class 3,3yo,2012,Good,5,2,Glamis (USA),3,C,125,Frankie Dettori,John Gosden,113,112,Sheikh Mohammed,1
Class 3,3yo,2012,Good,5,4,Peace Of Mind (GB),3,C,125,Pat Eddery,Roger Charlton,–,103,K Abdullah,2
Class 3,3yo,2012,Good,5,3,J R Stevenson (USA),3,G,125,Jimmy Fortune,Peter Chapple-Hyam,–,104,R E Sangster And B V Sangster,3
Class 3,3yo,2012,Good,5,5,Helvetius (GB),3,G,122,Philip Robinson,Clive Brittain,–,93,Sheikh Mohammed Obaid Al Maktoum,4
Class 3,3yo,2012,Good,5,1,Mixsterthetrixster (USA),3,G,133,Kieren Fallon,Tim Easterby,100,95,M P Burkes 5Th Family Settlement,5
Class 4,3yo,1207,Good,14,6,Candleriggs (IRE),3,G,127,Kieren Fallon,Ed Dunlop,79,89,The Right Angle Club,1
Class 4,3yo,1207,Good,14,12,Ranaan (IRE),3,C,123,Frankie Dettori,Mick Channon,75,81,Ahmed Al Shafar,2
Class 4,3yo,1207,Good,14,3,Alastair Smellie (GB),3,G,130,Michael Hills,B W Hills,82,87,W J Gredley,3
Class 4,3yo,1207,Good,14,2,Prince Prospect (GB),3,G,130,Pat Eddery,Linda Stubbs,82,80,Maurice Parker,4
Class 4,3yo,1207,Good,14,9,Midhish Two (IRE),3,G,125,Gary Carter,Philip Mitchell,77,72,J Mortonmrs J Cowleymrs J Murray,5
Class 4,3yo,1207,Good,14,11,Cappella (IRE),3,F,123,Dane ONeill,Richard Hannon Snr,75,60,Thurloe Thoroughbreds Iii,6
Class 4,3yo,1207,Good,14,14,La Paola (IRE),3,F,119,W J OConnor,Brian Meehan,71,51,G Battocchi,7
Class 4,3yo,1207,Good,14,8,Kilmeena Lad (GB),3,G,121,Steve Carson,Eric Wheeler,78,55,Mrs J A Cleary,8
Class 4,3yo,1207,Good,14,13,Sweet As A Nut I (IRE),3,F,123,J Weaver,Chris Dwyer,75,49,Wessex House Racing,9
Class 4,3yo,1207,Good,14,4,Charlene Lacy (IRE),3,F,129,Fergus Sweeney,Alan Jarvis,81,52,Mrs Ann Jarvis,10
Class 4,3yo,1207,Good,14,10,Golden Force I (GB),3,G,118,Pat Dobbs,Richard Hannon Snr,77,42,George E K Teo,11
Class 4,3yo,1207,Good,14,7,Clear Night (GB),3,C,126,Richard Hughes,Richard Hannon Snr,78,43,J A Lazzari,12
Class 4,3yo,1207,Good,14,1,Ones Enough (GB),3,G,133,M Roberts,Gary Moore,85,47,Heart Of The South Racing 3,13
Class 4,3yo,1207,Good,14,5,Kuwait Thunder (IRE),3,G,127,Jimmy Quinn,K Mahdi,79,38,Greenfield Stud,14
Class 1,3yo,1609,Good,8,5,Claxon (GB),3,F,120,Pat Eddery,John Dunlop,94,106,Hesmonds Stud,1
Class 1,3yo,1609,Good,8,2,Alabaq (USA),3,F,120,Richard Hills,John Dunlop,101,102,Hamdan Al Maktoum,2
Class 1,3yo,1609,Good,8,3,Alexis (IRE),3,F,120,Frankie Dettori,Jeremy Noseda,–,98,J G Davis,3
Class 1,3yo,1609,Good,8,4,Cape Grace (IRE),3,F,120,Dane ONeill,Richard Hannon Snr,102,97,George Strawbridge,4
Class 1,3yo,1609,Good,8,1,Lady Angharad (IRE),3,F,123,J F Egan,Alan Jarvis,103,96,Ambrose Turnbull,5
Class 1,3yo,1609,Good,8,8,Sena Desert (GB),3,F,120,Philip Robinson,Clive Brittain,88,92,Mohamed Obaida,6
Class 1,3yo,1609,Good,8,6,Kalidasa (USA),3,F,120,Jimmy Fortune,Peter Chapple-Hyam,107,91,R E Sangster,7
Class 1,3yo,1609,Good,8,7,Miss Universe (IRE),3,F,120,Michael Hills,B W Hills,108,90,The Hon Mrs J M Corbett C Wright,8
Class 1,3yo,1609,Good,11,4,Dehoush (USA),3,C,120,M Roberts,A C Stewart,102,106,Sheikh Ahmed Al Maktoum,1
Class 1,3yo,1609,Good,11,10,Wallace I (GB),3,C,120,Richard Hughes,Richard Hannon Snr,95,104,J A Lazzari,2
Class 1,3yo,1609,Good,11,2,Compton Arrow (IRE),3,G,120,Frankie Dettori,Gerard Butler,95,102,Erik Penser,3
Class 1,3yo,1609,Good,11,7,Peculiarity (GB),3,C,120,J Stack,Bryan Smart,92,101,The Family Partnership,4
Class 1,3yo,1609,Good,11,8,Tayil (IRE),3,C,120,Richard Hills,John Dunlop,104,95,Hamdan Al Maktoum,5
Class 1,3yo,1609,Good,11,3,Conflict (FR),3,C,120,Philip Robinson,Clive Brittain,–,93,Sheikh Marwan Al Maktoum,6
Class 1,3yo,1609,Good,11,9,Tumbleweed Quartet (USA),3,G,120,W J OConnor,Brian Meehan,113,93,The Tumbleweed Partnership,7
Class 1,3yo,1609,Good,11,1,Raise A Grand (IRE),3,C,125,Gary Carter,J W Payne,114,96,Nagy Azar,8
Class 1,3yo,1609,Good,11,6,Lough Swilly (IRE),3,G,120,Pat Eddery,B W Hills,97,87,John C Grant,9
Class 1,3yo,1609,Good,11,11,Zippergate (GB),3,C,120,Michael Hills,B W Hills,–,56,W J Gredley,10
Class 1,3yo,1609,Good,11,5,Fair Flight (GB),3,C,120,Kieren Fallon,Ed Dunlop,96,21,Khalifa Sultan,11
Class 3,4yo+,3219,Good,12,6,Far Cry (IRE),4,G,127,Jimmy Fortune,M C Pipe,85,92,Mrs Nicky Chambers,1
Class 3,4yo+,3219,Good,12,3,Prairie Falcon (IRE),5,G,130,Michael Hills,B W Hills,84,91,Mrs B W Hills,2
Class 3,4yo+,3219,Good,12,11,Bridies Pride (GB),8,G,110,Gary Bardwell,Gerald Ham,64,70,K C White,3
Class 3,4yo+,3219,Good,12,4,Tarxien (GB),5,G,130,J Weaver,Merrita Jones,84,88,F J Sainsbury,4
Class 3,4yo+,3219,Good,12,2,Spunkie (GB),6,G,133,Kieren Fallon,R F Johnson Houghton,87,91,Jim Short,5
Class 3,4yo+,3219,Good,12,1,Benatom (USA),6,G,140,Frankie Dettori,David Elsworth,94,95,Lordship Stud,6
Class 3,4yo+,3219,Good,12,12,Yes Keemo Sabee (GB),4,G,109,Jimmy Quinn,Derek Shaw,67,68,Ian Guise,7
Class 3,4yo+,3219,Good,12,5,Renzo (IRE),6,G,129,Seb Sanders,J L Harris,83,84,Cleartherm Glass Sealed Units Ltd,8
Class 3,4yo+,3219,Good,12,9,Sea Freedom (GB),8,H,114,Steve Drowne,G B Balding,67,65,Miss B Swire,9
Class 3,4yo+,3219,Good,12,8,Danegold (IRE),7,G,116,Allan Mackay,Mick Channon,70,68,Circular Distributors Ltd,10
Class 3,4yo+,3219,Good,12,10,Salaman (FR),7,G,111,Royston Ffrench,Daniel OBrien,65,62,Graham Pasquill,11
Class 3,4yo+,3219,Good,12,7,King Of Mommur (IRE),4,G,121,Pat Eddery,Brian Meehan,79,74,The Three Bears Racing,12
Class 4,3yo,1811,Good,13,9,Tactful Remark (USA),3,C,125,Frankie Dettori,John Gosden,77,85,Sheikh Mohammed,1
Class 4,3yo,1811,Good,13,2,Deploy Venture (GB),3,G,131,John Reid,S Woods,83,88,Dr Frank S B Chao,2
Class 4,3yo,1811,Good,13,3,Lucky Gitano (IRE),3,G,130,Pat Eddery,John Dunlop,82,85,Anamoine Limited,3
Class 4,3yo,1811,Good,13,5,Invader (GB),3,C,129,Philip Robinson,Clive Brittain,81,83,Sheikh Mohammed Obaid Al Maktoum,4
Class 4,3yo,1811,Good,13,1,Inducement (GB),3,G,133,Michael Hills,B W Hills,85,86,W J Gredley,5
Class 4,3yo,1811,Good,13,14,Pas De Probleme (IRE),3,G,120,Jimmy Quinn,Michael Blanshard,72,72,Captain Francis Burne,6
Class 4,3yo,1811,Good,13,12,Calldat Seventeen (GB),3,G,113,D Hayden,Paul DArcy,72,67,Keith Harrison,7
Class 4,3yo,1811,Good,13,7,Pluralist (IRE),3,G,125,Michael Tebbutt,William Jarvis,77,70,The Pluralist Partnership,8
Class 4,3yo,1811,Good,13,4,Quickstep (GB),3,F,130,Dane ONeill,Richard Hannon Snr,82,74,Lady Tennant,9
Class 4,3yo,1811,Good,13,10,Song n Dance Man (GB),3,C,125,Gary Carter,Jeremy Noseda,77,68,Late B Schmidt Bodnerlate Mrs M Tillman,10
Class 4,3yo,1811,Good,13,6,Natalie Jay (GB),3,F,126,Jimmy Fortune,Mick Channon,78,65,Peter Jolliffe,11
Class 4,3yo,1811,Good,13,11,Bobs Princess (GB),3,F,123,R Perham,Patrick Chamings,75,62,Mrs J E L Wright,12
Class 4,3yo,1811,Good,13,13,Padhams Green (GB),3,G,120,Steve Drowne,Mark H Tompkins,72,54,D J Anderson,13
Class 4,3yo+,1408,Good To Firm,12,12,Quite Incredible (USA),3,F,118,Pat Eddery,Ed Dunlop,–,71,Maktoum Al Maktoum,1
Class 4,3yo+,1408,Good To Firm,12,1,Desert Warrior I (IRE),5,H,137,Russell Price,K Mahdi,45,68,Hamad Al Mutawa,2
Class 4,3yo+,1408,Good To Firm,12,2,Oriental (GB),4,G,137,Frankie Dettori,John Gosden,–,68,Sheikh Mohammed,3
Class 4,3yo+,1408,Good To Firm,12,6,Grand Sonnet (IRE),3,C,120,Neil Pollard,David Elsworth,–,65,Michael Jackson Bloodstock Ltd,4
Class 4,3yo+,1408,Good To Firm,12,5,El Picador (GB),3,G,116,Gabriel Hannon,Brian Meehan,–,64,Mario Lanfranchi,5
Class 4,3yo+,1408,Good To Firm,12,4,Eight (IRE),3,G,123,Dane ONeill,M J Heaton-Ellis,–,63,Mrs Anthony Andrews,6
Class 4,3yo+,1408,Good To Firm,12,8,Luzern (GB),3,G,123,Olivier Peslier,Clive Brittain,84,63,Saeed Manana,7
Class 4,3yo+,1408,Good To Firm,12,9,Reynolds (IRE),3,G,123,Richard Hughes,Roger Charlton,–,59,Lady Rothschild,8
Class 4,3yo+,1408,Good To Firm,12,7,Legal Set (IRE),3,G,123,Kieren Fallon,C A Horgan,–,57,John Kelsey Fry,9
Class 4,3yo+,1408,Good To Firm,12,3,White Valley (IRE),4,F,129,Paul Doe,Simon Dow,–,49,I P Blance,10
Class 4,3yo+,1408,Good To Firm,12,11,Stitch In Time (GB),3,G,123,Michael Hills,Giles Bravery,–,53,H P Carrington,11
Class 4,3yo+,1408,Good To Firm,12,13,War Baby (GB),3,F,118,A Whelan,Miss B Sanders,–,31,Mrs J M Laycock,12
Class 3,3yo+,1207,Good,9,7,Hill Magic (GB),4,G,125,Neil Pollard,David Elsworth,92,110,Michael Jackson Bloodstock Ltd,1
Class 3,3yo+,1207,Good,9,5,Brave Edge (GB),8,G,128,Pat Eddery,Richard Hannon Snr,99,105,Horris Vale Racing Partnership,2
Class 3,3yo+,1207,Good,9,8,To The Roof (IRE),7,G,128,Frankie Dettori,P W Harris,104,100,Mrs P W Harris,3
Class 3,3yo+,1207,Good,9,2,Kumait (USA),5,G,133,Richard Hills,Ed Dunlop,105,104,Maktoum Al Maktoum,4
Class 3,3yo+,1207,Good,9,9,Jennelle (GB),5,M,123,Jimmy Fortune,Chris Dwyer,91,92,Mrs J A Cornwell,5
Class 3,3yo+,1207,Good,9,3,Always Alight (GB),5,G,131,Kieren Fallon,K R Burke,100,91,Michael Nelmes Crocker,6
Class 3,3yo+,1207,Good,9,1,Astrac (IRE),8,G,133,Alex Greaves,David Nicholls,99,82,T L Beecroft,7
Class 3,3yo+,1207,Good,9,4,Bold Effort (FR),7,G,128,Ray Cochrane,Ken Cunningham-Brown,94,68,A J Richards,8
Class 3,3yo+,1207,Good,9,6,Coastal Bluff (GB),7,G,128,Tom McLaughlin,Nick Littmoden,105,62,Paul J Dixon,9
Class 1,4yo+,2012,Good To Firm,8,4,Generous Rosi (GB),4,C,123,Kieren Fallon,John Dunlop,107,108,Wafic Said,1
Class 1,4yo+,2012,Good To Firm,8,7,Shaya (GB),5,H,123,Michael Hills,Giles Bravery,104,102,Michael C Whatley,2
Class 1,4yo+,2012,Good To Firm,8,2,Dynamism (FR),4,G,123,Frankie Dettori,Linda Stubbs,–,101,M S C S Griffiths,3
Class 1,4yo+,2012,Good To Firm,8,8,Diamond White (GB),4,F,118,Russell Price,M J Ryan,95,93,Peter P Scott,4
Class 1,4yo+,2012,Good To Firm,8,3,For Valour (USA),6,H,123,Olivier Peslier,Ken Cunningham-Brown,102,89,A J Richards,5
Class 1,4yo+,2012,Good To Firm,8,5,Muhtafel (GB),5,G,123,Jimmy Fortune,J R Jenkins,93,80,R M Ellis,6
Class 1,4yo+,2012,Good To Firm,8,6,Royal Amaretto (IRE),5,G,123,Pat Eddery,Brian Meehan,106,71,The Harlequin Partnership,7
Class 1,4yo+,2012,Good To Firm,8,1,Dower House (GB),4,G,123,John Reid,William Jarvis,100,–,Exors Of The Late Lord Howard De Walden,UR
Class 2,4yo+,2012,Good To Firm,20,5,Carry The Flag (GB),4,C,132,Jimmy Fortune,Paul Cole,94,105,Luciano Gaucci,1
Class 2,4yo+,2012,Good To Firm,20,2,Rokeby Bowl (GB),7,G,135,Adrian Nicholls,I A Balding,102,113,Mrs Paul Mellon,2
Class 2,4yo+,2012,Good To Firm,20,4,Monsajem (USA),4,C,135,Olivier Peslier,Ed Dunlop,97,106,Khalifa Sultan,3
Class 2,4yo+,2012,Good To Firm,20,18,Captains Log (GB),4,G,113,Richard Mullen,Michael Bell,78,85,Christopher Wright,4
Class 2,4yo+,2012,Good To Firm,20,3,Pantar (IRE),4,G,138,Kieren Fallon,I A Balding,100,105,Robert Hitchins,5
Class 2,4yo+,2012,Good To Firm,20,17,Pas De Memoires (IRE),4,G,112,Neil Callan,K R Burke,79,78,Nigel Shields,6
Class 2,4yo+,2012,Good To Firm,20,7,Nautical Star (GB),4,G,131,Michael Hills,J W Hills,93,92,Michael Wauchope,7
Class 2,4yo+,2012,Good To Firm,20,20,King Darius (IRE),4,G,117,Dane ONeill,Richard Hannon Snr,79,76,E John Perry,8
Class 2,4yo+,2012,Good To Firm,20,11,Infatuation I (GB),6,G,123,Paul Doe,Lady Herries,88,83,Lady Katharine Phillips,9
Class 2,4yo+,2012,Good To Firm,20,12,River Beat (IRE),4,G,116,Darren Williams,K R Burke,85,79,High Havens Stables,10
Class 2,4yo+,2012,Good To Firm,20,13,Mudalal (USA),4,C,123,Frankie Dettori,B W Hills,85,74,Hamdan Al Maktoum,11
Class 2,4yo+,2012,Good To Firm,20,10,Somayda (IRE),4,G,127,Richard Hills,John Dunlop,89,70,Hamdan Al Maktoum,12
Class 2,4yo+,2012,Good To Firm,20,14,Praetorian Gold (GB),4,G,120,Richard Hughes,Richard Hannon Snr,82,63,The Gold Buster Syndicate 2,13
Class 2,4yo+,2012,Good To Firm,20,19,Gralmano (IRE),4,G,116,J Tate,Nick Littmoden,78,59,Coleorton Moor Racing,14
Class 2,4yo+,2012,Good To Firm,20,6,Emerald Heights (GB),4,G,131,Ray Cochrane,James Fanshawe,93,72,Peter And Noreen Hodgson,15
Class 2,4yo+,2012,Good To Firm,20,16,White Plains (IRE),6,G,117,Fergus Sweeney,K R Burke,79,49,Nigel Shields,16
Class 2,4yo+,2012,Good To Firm,20,9,Alconleigh (GB),4,G,129,M Roberts,Mark Johnston,91,57,J David Abell,17
Class 2,4yo+,2012,Good To Firm,20,8,Taverner Society (IRE),4,G,130,Russell Price,Malcolm Saunders,92,55,M S Saunders,18
Class 2,4yo+,2012,Good To Firm,20,15,Further Outlook (USA),5,G,118,Pat Eddery,David Nicholls,80,37,Mark A Leatham,19
Class 2,4yo+,2012,Good To Firm,20,1,Supreme Sound (GB),5,H,140,Gary Bardwell,P W Harris,102,59,Mrs P W Harris,20
Class 4,4yo+,1207,Good,23,7,Passion For Life (GB),6,G,134,Olivier Peslier,John Akehurst,79,89,Canisbay Bloodstock,1
Class 4,4yo+,1207,Good,23,9,Rififi (GB),6,G,131,M Roberts,Roger Ingram,76,85,Gary G W R Williams,2
Class 4,4yo+,1207,Good,23,4,Easter Ogil (IRE),4,G,136,Kieren Fallon,I A Balding,81,88,G M Smart,3
Class 4,4yo+,1207,Good,23,11,Madmun (IRE),5,G,130,Richard Hills,Marcus Tregoning,75,73,Hamdan Al Maktoum,4
Class 4,4yo+,1207,Good,23,23,Purple Fling (GB),8,G,111,Richard Mullen,A J McNae,59,55,A J Mcnae,5
Class 4,4yo+,1207,Good,23,12,Vasari (IRE),5,G,128,Russell Price,Willie Musson,73,66,Lloyd Bennett,6
Class 4,4yo+,1207,Good,23,18,Compradore (GB),4,F,124,Dale Gibson,Michael Blanshard,69,62,Mrs James Watkins,7
Class 4,4yo+,1207,Good,23,13,Blundell Lane (IRE),4,G,127,Fergus Sweeney,Alan Jarvis,72,64,Nick Coverdale,8
Class 4,4yo+,1207,Good,23,1,Twice As Sharp (GB),7,H,140,Frankie Dettori,P W Harris,85,75,Formula Twelve,9
Class 4,4yo+,1207,Good,23,3,Family Man (GB),6,G,136,Ray Cochrane,James Fanshawe,81,65,Family Man Partnership,10
Class 4,4yo+,1207,Good,23,14,Alpen Wolf (IRE),4,G,127,Martin Dwyer,William Muir,72,56,R Haim,11
Class 4,4yo+,1207,Good,23,16,Ivory Dawn (GB),5,M,123,Neil Pollard,K T Ivory,71,54,Dean Ivory,12
Class 4,4yo+,1207,Good,23,2,Deep Space (IRE),4,G,139,Pat Eddery,Ed Dunlop,84,61,Maktoum Al Maktoum,13
Class 4,4yo+,1207,Good,23,21,Golden Pound (USA),7,G,117,Simon Whitworth,Linda Stubbs,62,39,A P Griffin,14
Class 4,4yo+,1207,Good,23,17,King Of Peru (GB),6,G,126,Tom McLaughlin,Nick Littmoden,71,42,M C S D Racing,15
Class 4,4yo+,1207,Good,23,8,Delta Soleil (USA),7,H,126,Neil Callan,V Soane,76,44,American Quartet,16
Class 4,4yo+,1207,Good,23,15,Contrary Mary (GB),4,F,127,Michael Hills,John Akehurst,72,40,Flisher Foods,17
Class 4,4yo+,1207,Good,23,10,Bedevilled (GB),4,G,130,Gary Bardwell,M J Heaton-Ellis,75,40,David A Caruth,18
Class 4,4yo+,1207,Good,23,6,Double Oscar (IRE),6,G,135,Alex Greaves,David Nicholls,80,42,Trilby Racing,19
Class 4,4yo+,1207,Good,23,22,Buzzing (IRE),4,G,117,Dane ONeill,Richard Hannon Snr,62,21,Mrs P Jubert,20
Class 4,4yo+,1207,Good,23,19,Juwwi (GB),5,G,123,Jimmy Fortune,Milton Bradley,68,24,J M Bradley,21
Class 4,4yo+,1207,Good,23,20,Carlton (IRE),5,G,116,Paul Doe,G Lewis,64,20,City Slickers,22
Class 4,4yo+,1207,Good,23,5,Taoiste (GB),6,H,135,Richard Hughes,Malcolm Saunders,80,21,Earl Toups,23
Class 4,3yo,2240,Good To Firm,13,12,Frippet (IRE),3,F,121,Olivier Peslier,Simon Dow,–,87,Clear Height Epsom,1
Class 4,3yo,2240,Good To Firm,13,4,Kondoty (USA),3,C,126,Richard Hughes,Mick Channon,–,90,Sheikh Ahmed Al Maktoum,2
Class 4,3yo,2240,Good To Firm,13,10,Through The Rye (GB),3,G,126,Michael Hills,B W Hills,–,89,W J Gredley,3
Class 4,3yo,2240,Good To Firm,13,8,Stormy Skye (IRE),3,G,126,M Roberts,A J McNae,95,80,The Iona Stud,4
Class 4,3yo,2240,Good To Firm,13,2,Coogan (ITY),3,C,126,Jimmy Fortune,Paul Cole,–,79,Luciano Gaucci,5
Class 4,3yo,2240,Good To Firm,13,9,Thames Dancer (USA),3,G,126,Dane ONeill,Kevin McAuliffe,–,74,John S Dunningham,6
Class 4,3yo,2240,Good To Firm,13,6,Oriental Pride (IRE),3,G,126,Simon Whitworth,Ed Dunlop,–,71,H R H Sultan Ahmad Shah,7
Class 4,3yo,2240,Good To Firm,13,13,Joli Saddlers (GB),3,F,121,Frankie Dettori,M J Haynes,–,66,Joli Racing,8
Class 4,3yo,2240,Good To Firm,13,1,Challenges (FR),3,G,126,Pat Eddery,Brian Meehan,–,71,J S Gutkin,9
Class 4,3yo,2240,Good To Firm,13,5,Malian (IRE),3,G,126,Fergus Sweeney,Alan Jarvis,–,68,M I Glass,10
Class 4,3yo,2240,Good To Firm,13,11,Dramatic Scenes (GB),3,F,120,P P Murphy,J S Moore,–,62,Peter Henley,11
Class 4,3yo,2240,Good To Firm,13,3,Direct Deal (GB),3,G,126,Kieren Fallon,Ed Dunlop,–,53,Maktoum Al Maktoum,12
Class 4,3yo,2240,Good To Firm,13,7,Red December (IRE),3,G,119,S Clancy,Alan Jarvis,–,42,Mrs Ann Jarvis,13
Class 4,3yo+,1408,Good To Firm,12,9,Surprise Encounter I (GB),3,G,123,Kieren Fallon,Ed Dunlop,–,87,Ahmed Buhaleeba,1
Class 4,3yo+,1408,Good To Firm,12,3,Border Prince I (GB),3,G,123,Martin Dwyer,I A Balding,–,85,R Michaelson D Allport,2
Class 4,3yo+,1408,Good To Firm,12,7,Rajwhan (USA),3,G,123,Olivier Peslier,Clive Brittain,–,79,Mohammed Jaber,3
Class 4,3yo+,1408,Good To Firm,12,5,End Of Story (IRE),3,G,123,Dane ONeill,Richard Hannon Snr,–,69,High Seas Leisure Limited,4
Class 4,3yo+,1408,Good To Firm,12,12,Knockemback Nellie (GB),3,F,115,Neil Pollard,David Elsworth,75,64,Notaproperjob Partnership,5
Class 4,3yo+,1408,Good To Firm,12,10,Trouble (GB),3,G,123,Michael Hills,B W Hills,–,62,Seymour Cohn,6
Class 4,3yo+,1408,Good To Firm,12,1,Gold Millenium (IRE),5,G,137,Richard Hughes,C A Horgan,–,61,Mrs L M Horgan,7
Class 4,3yo+,1408,Good To Firm,12,2,Reachforyourpocket (IRE),4,G,137,Russell Price,K Mahdi,–,59,Bryan Fry Alan Hall,8
Class 4,3yo+,1408,Good To Firm,12,8,Red Apollo (GB),3,G,123,Tom McLaughlin,A C Stewart,–,58,S J Hammond,9
Class 4,3yo+,1408,Good To Firm,12,6,Neptune (GB),3,G,123,Frankie Dettori,G Lewis,–,53,Highclere Thoroughbred Racing Ltd,10
Class 4,3yo+,1408,Good To Firm,12,4,Dane Friendly (GB),3,C,123,Jimmy Fortune,Peter Chapple-Hyam,–,47,Luciano Gaucci,11
Class 4,3yo+,1408,Good To Firm,12,11,Eclectic (GB),3,F,115,Paul Doe,Simon Dow,–,1,Harold Nass,12
Class 3,3yo,1811,Good,13,14,Golconda (IRE),3,F,109,Richard Mullen,Michael Bell,69,78,Innlaw Racing,1
Class 3,3yo,1811,Good,13,1,Pulau Tioman (GB),3,C,133,Philip Robinson,Michael Jarvis,90,98,H R H Sultan Ahmad Shah,2
Class 3,3yo,1811,Good,13,5,Tactful Remark (USA),3,C,125,G Hind,John Gosden,82,87,Sheikh Mohammed,3
Class 3,3yo,1811,Good,13,2,Trio (GB),3,G,129,Kieren Fallon,N Hamilton,86,90,City Industrial Supplies Ltd,4
Class 3,3yo,1811,Good,13,4,Tumbleweed Glen (IRE),3,G,125,Pat Eddery,Brian Meehan,82,84,The Fifth Tumbleweed Partnership,5
Class 3,3yo,1811,Good,13,11,King For A Day (GB),3,G,115,T Sprake,B W Hills,72,71,Maktoum Al Maktoum,6
Class 3,3yo,1811,Good,13,9,Daunted (IRE),3,G,118,Tony Clark,Gary Moore,75,69,Allen Associates,7
Class 3,3yo,1811,Good,13,8,Colonel Mustard (GB),3,G,119,Ray Cochrane,James Fanshawe,76,69,Mrs Jan Hopper,8
Class 3,3yo,1811,Good,13,7,Awwaliya (GB),3,F,120,Richard Hughes,P T Walwyn,77,68,Hamdan Al Maktoum,9
Class 3,3yo,1811,Good,13,13,Coco Girl (GB),3,F,113,Martin Dwyer,I A Balding,70,53,J C Smith,10
Class 3,3yo,1811,Good,13,10,Natalie Jay (GB),3,F,118,Steve Drowne,Mick Channon,75,57,Peter Jolliffe,11
Class 3,3yo,1811,Good,13,6,Capriolo (IRE),3,G,115,Pat Dobbs,Richard Hannon Snr,79,49,John Homer Racing,12
Class 3,3yo,1811,Good,13,12,Achilles Sky (GB),3,C,112,Neil Pollard,K R Burke,72,–,Achilles International,13
Class 3,3yo+,2414,Good,16,11,Serenus (USA),6,G,120,Kieren Fallon,Nicky Henderson,70,80,W V M W Mrs E S Robins,1
Class 3,3yo+,2414,Good,16,10,Borgia (GB),4,F,121,T Sprake,Roger Charlton,71,80,Lady Rothschild,2
Class 3,3yo+,2414,Good,16,1,Just In TimeI (GB),4,G,139,Pat Eddery,T G Mills,89,96,Mrs Pauline Merrick,3
Class 3,3yo+,2414,Good,16,9,Puzzlement (GB),5,G,122,Philip Robinson,Clive Brittain,72,78,Mrs C E Brittain,4
Class 3,3yo+,2414,Good,16,6,Shadiann (IRE),5,G,125,Steve Drowne,Pat Murphy,75,80,Michael Blackburn John Brown,5
Class 3,3yo+,2414,Good,16,3,Cloak Of Darkness I (IRE),4,G,133,Richard Hughes,Richard Hannon Snr,83,85,Mohamed Suhail,6
Class 3,3yo+,2414,Good,16,12,Swift (GB),5,G,118,Simon Whitworth,M J Polglase,68,70,General Sir Geoffrey Howlett,7
Class 3,3yo+,2414,Good,16,8,Moon Blast (GB),5,G,123,W J OConnor,M Salaman,73,75,J P M J W Cook,8
Class 3,3yo+,2414,Good,16,7,Moon Colony (GB),6,G,124,Tony Clark,Lady Herries,74,75,Mrs Berta Lazarus,9
Class 3,3yo+,2414,Good,16,4,Bering Gifts (IRE),4,G,130,Jimmy Fortune,Paul Cole,80,76,Gg Partnership,10
Class 3,3yo+,2414,Good,16,2,Mole Creek (GB),4,F,134,Ray Cochrane,James Fanshawe,84,78,Lord Vestey,11
Class 3,3yo+,2414,Good,16,5,Flying Eagle (GB),8,G,128,Pat McCabe,Gary Moore,78,69,T F Maycock,12
Class 3,3yo+,2414,Good,16,16,September Harvest (USA),3,G,110,C Rutter,Brian Meehan,79,69,John S Dunningham,13
Class 3,3yo+,2414,Good,16,14,Natural Eight (IRE),5,G,111,Neil Pollard,Jamie Poulton,64,50,Mrs Melody Siu,14
Class 3,3yo+,2414,Good,16,13,Brandon Court (IRE),8,G,115,Martin Dwyer,I A Balding,65,50,Tunnel Vision,15
Class 3,3yo+,2414,Good,16,15,Amadour (IRE),6,G,109,Richard Mullen,Philip Mitchell,62,9,Lovine Partnership,16
Class 2,4yo+,1609,Good,15,8,Tertium (IRE),7,G,122,T Sprake,Nick Littmoden,86,99,Mrs Linda Miller,1
