dist,ran,num,pos,ovr_btn,btn,age,lbs,or,rpr
2,12,6,8,33.25,1.5,4,150,84,57
2,12,9,9,38.25,5,6,140,74,42
2,12,4,10,52.25,14,7,154,88,42
2,12,7,11,82.25,30,6,140,74,0
2,12,12,0,0,0,6,137,74,0
3,9,5,1,0,0,7,164,0,178
3,9,6,2,10,10,8,164,0,169
3,9,2,3,21,11,7,164,157,156
3,9,1,4,24.5,3.5,7,164,154,155
3,9,8,5,26.5,2,10,164,177,156
3,9,4,6,34.5,8,8,164,166,144
3,9,7,7,45.5,11,11,164,159,137
3,9,9,8,45.75,0.2,6,159,149,127
3,9,3,0,0,0,10,164,146,0
2,10,1,1,0,0,4,164,0,130
2,10,10,2,0.3,0.3,4,159,0,124
2,10,9,3,1.5,1.25,4,159,0,123
2,10,7,4,8.5,7,4,159,119,116
2,10,2,5,9,0.5,4,164,0,123
2,10,11,6,14,5,4,159,113,113
2,10,13,7,23,9,5,152,0,102
2,10,5,8,31,8,4,159,0,94
2,10,6,9,31.25,0.2,4,152,0,93
2,10,3,0,0,0,5,159,0,0
3,5,1,1,0,0,6,161,0,162
3,5,6,2,30,30,6,161,134,132
3,5,5,3,51,21,6,161,0,112
3,5,3,,0,0,7,161,143,152
3,5,2,0,0,0,6,161,137,0
2,14,10,1,0,0,5,148,119,132
2,14,15,2,0.5,0.5,5,140,111,124
2,14,13,3,5.5,5,5,135,113,121
2,14,3,4,10.5,5,6,158,129,133
2,14,7,5,15.5,5,4,154,125,124
2,14,9,6,16,0.5,5,149,120,117
2,14,8,7,17.25,1.25,4,153,124,122
2,14,2,8,40.25,23,7,158,129,102
2,14,5,9,61.25,21,7,149,127,79
2,14,12,10,64.25,3,7,145,116,65
2,14,1,11,88.25,24,5,168,138,64
2,14,14,12,92.25,4,5,140,111,32
2,14,4,13,94.25,2,4,157,128,47
2,14,6,0,0,0,6,155,126,0
2,4,2,1,0,0,5,158,0,139
2,4,1,2,2,2,5,158,137,137
2,4,4,3,4,2,6,154,0,133
2,4,3,4,34,30,6,154,0,106
25,12,5,1,0,0,6,158,126,138
25,12,11,2,1.75,1.75,6,133,109,118
25,12,3,3,18.75,17,5,160,128,121
25,12,2,4,19.25,0.5,4,161,129,122
25,12,4,5,19.5,0.3,7,158,126,118
25,12,8,6,23.5,4,12,146,119,108
25,12,9,7,41.5,18,7,139,114,84
25,12,13,8,43,1.5,7,140,109,97
25,12,6,9,44.5,1.5,9,153,121,110
25,12,12,10,49.5,5,9,140,109,70
25,12,7,11,53,3.5,4,152,120,79
25,12,10,12,83,30,7,145,113,0
2,8,7,1,0,0,3,154,0,121
2,8,3,2,12,12,3,154,0,103
2,8,4,3,15,3,3,154,0,99
2,8,5,4,20,5,3,154,0,94
2,8,9,5,20.75,0.75,3,149,0,89
2,8,6,6,26.75,6,3,154,0,87
2,8,8,7,56.75,30,3,154,0,0
2,8,2,8,57.75,1,3,149,0,0
24,10,10,1,0,0,6,149,104,118
24,10,4,2,7,7,7,158,113,120
24,10,8,3,13,6,8,151,106,107
24,10,6,4,14.25,1.25,7,148,108,109
24,10,11,5,15.25,1,8,142,100,99
24,10,7,6,45.25,30,5,153,108,0
24,10,2,,0,0,6,157,117,0
24,10,5,,0,0,6,156,111,0
24,10,1,0,0,0,6,166,121,0
24,10,3,0,0,0,6,158,113,0
2,7,3,1,0,0,5,161,165,154
2,7,1,2,0.2,0.2,6,161,162,155
2,7,6,3,2.25,2,5,161,146,152
2,7,7,4,5.25,3,7,161,145,149
2,7,4,5,6.25,1,10,161,143,148
2,7,5,6,7.25,1,10,161,166,147
2,7,2,7,16.25,9,4,161,132,142
24,17,12,1,0,0,9,147,104,127
24,17,16,2,2.5,2.5,12,142,99,118
24,17,5,3,6.5,4,7,158,110,125
24,17,10,4,12.5,6,9,155,107,117
24,17,3,5,16.5,4,6,163,115,121
24,17,11,6,33.5,17,8,153,105,93
24,17,17,7,56.5,23,6,144,96,61
24,17,4,8,64.5,8,11,158,110,67
24,17,13,9,67,2.5,8,151,103,58
24,17,9,10,71,4,9,155,107,58
24,17,15,,0,0,6,151,103,0
24,17,2,0,0,0,10,164,116,0
24,17,8,0,0,0,9,153,108,0
24,17,6,0,0,0,8,157,109,0
24,17,7,0,0,0,8,156,108,0
24,17,14,0,0,0,7,151,103,0
24,17,1,0,0,0,11,160,119,0
3,12,1,1,0,0,8,163,130,143
3,12,7,2,5,5,6,153,115,125
3,12,5,3,5.5,0.5,9,155,117,125
3,12,4,4,7.25,1.75,12,155,117,123
3,12,12,5,11.25,4,6,143,108,110
3,12,9,6,12,0.75,7,152,114,115
3,12,6,7,38,26,8,154,116,91
3,12,3,8,55,17,7,156,118,76
3,12,13,9,56.25,1.25,7,144,106,63
3,12,11,10,86.25,30,8,147,109,0
3,12,10,,0,0,7,145,112,0
3,12,2,0,0,0,8,162,124,0
3,13,2,1,0,0,7,162,127,136
3,13,13,2,0.75,0.75,6,140,106,112
3,13,11,3,2.75,2,6,141,107,111
3,13,9,4,3.25,0.5,6,145,111,115
3,13,6,5,20.25,17,7,142,114,105
3,13,8,6,28.25,8,8,148,113,93
3,13,7,7,36.25,8,8,143,113,85
3,13,10,8,43.25,7,8,140,111,75
3,13,5,9,44.75,1.5,8,153,123,86
3,13,3,10,74.75,30,8,159,124,57
3,13,12,11,87.75,13,7,138,107,26
3,13,1,0,0,0,11,157,129,0
3,13,4,0,0,0,6,158,123,0
24,11,4,1,0,0,6,163,110,124
24,11,9,2,1.5,1.5,7,148,95,105
24,11,5,3,19.5,18,10,160,107,99
24,11,10,4,22,2.5,8,148,95,85
24,11,6,5,22.25,0.3,8,159,106,95
24,11,11,6,38.25,16,8,140,87,67
24,11,1,7,53.25,15,9,167,114,92
24,11,2,,0,0,7,165,112,126
24,11,8,,0,0,9,154,101,0
24,11,3,0,0,0,9,161,111,0
24,11,7,0,0,0,8,155,105,0
2,17,11,1,0,0,4,150,0,130
2,17,9,2,2,2,4,145,0,122
2,17,17,3,2.5,0.5,4,150,0,120
2,17,7,4,16.5,14,4,150,0,106
2,17,14,5,18.5,2,4,150,0,105
2,17,1,6,25.5,7,4,156,0,103
2,17,13,7,29.5,4,4,150,0,93
2,17,12,8,30,0.5,4,150,0,100
2,17,3,9,34,4,4,150,0,89
2,17,2,10,34.25,0.2,4,156,0,94
2,17,15,11,40.25,6,4,150,0,82
2,17,5,12,56.25,16,4,150,0,66
2,17,8,13,65.25,9,4,150,0,57
2,17,16,14,71.25,6,4,143,0,51
2,17,10,15,72.75,1.5,4,150,0,50
2,17,18,0,0,0,4,145,0,0
2,17,4,0,0,0,4,150,0,0
2,13,3,1,0,0,8,166,117,139
2,13,10,2,1.25,1.25,13,144,100,118
2,13,13,3,19.25,18,7,146,97,97
2,13,2,4,20.5,1.25,8,167,118,117
2,13,8,5,33.5,13,7,150,101,101
2,13,12,6,41.5,8,10,147,98,76
2,13,4,7,42.25,0.75,8,165,116,93
2,13,11,8,44.75,2.5,11,148,99,74
2,13,1,9,44.75,0.1,9,168,119,93
2,13,9,10,45.25,0.3,10,149,100,74
2,13,6,11,54.25,9,7,154,105,70
2,13,7,12,63.25,9,10,151,102,58
2,13,5,RO,0,0,7,158,109,0
3,14,3,1,0,0,6,154,113,134
3,14,9,2,7,7,7,154,107,113
3,14,2,3,13,6,7,163,115,122
3,14,4,4,15.5,2.5,7,160,112,111
3,14,6,5,18.5,3,12,156,109,104
