going,ran,num,pos,ovr_btn,btn,age,sex,lbs,time,secs,dec,or,rpr,jockey,trainer
Good,8,8,7,47,21,11,G,140,04:04.9,244.9,15,117,104,Norman Williamson,Paul Dalton
Good,8,5,8,77,30,9,G,141,04:10.9,250.9,10,121,68,N Hannity,George Moore
Good,7,6,1,0,0,5,G,152,04:04.5,244.5,34,112,113,Timmy Murphy,Mark Pitman
Good,7,4,2,1,1,6,G,156,04:04.7,244.7,4.5,–,116,Jim Culloty,Henrietta Knight
Good,7,7,3,2.75,1.75,6,G,152,04:05.0,245.05,51,–,111,Carl Llewellyn,Mary Hambro
Good,7,2,4,5.75,3,5,G,159,04:05.7,245.65,9,–,114,S P McCann,Gerard Keane
Good,7,3,5,8.75,3,4,G,159,04:06.3,246.25,3.25,127,111,A P McCoy,M C Pipe
Good,7,1,6,16.75,8,6,G,159,04:07.9,247.85,2.75,–,108,Charlie Swan,C F Swan
Good,7,5,7,44.75,28,6,G,152,04:13.5,253.45,15,–,68,Mick Fitzgerald,R H Alner
Good,13,7,1,0,0,9,G,156,08:37.9,517.9,11,113,127,Joe Tizzard,Colin Tizzard
Good,13,2,2,0.5,0.5,7,G,162,08:38.0,518,3.25,128,133,Timmy Murphy,Paul Nicholls
Good,13,8,3,1.5,1,9,G,156,08:38.2,518.2,6,121,126,Adrian Maguire,Ferdy Murphy
Good,13,12,4,4,2.5,6,G,150,08:38.7,518.7,34,–,117,Michal Kohl,Josef Vana
Good,13,10,5,5.5,1.5,9,G,153,08:39.0,519,15,–,119,Jan Havlicek,Zdena Havlickova
Good,13,6,6,6.5,1,7,M,157,08:39.2,519.2,17,–,122,Josef Vana,Josef Vana
Good,13,3,7,9.5,3,8,G,162,08:39.8,519.8,5.5,123,124,Mr R Widger,Philip Hobbs
Good,13,13,8,38.5,29,12,G,150,08:45.6,525.6,17,100,83,J R Kavanagh,Jonjo ONeill
Good,13,1,9,39,0.5,8,G,162,08:45.7,525.7,13,88,94,Jason Maguire,Tom George
Good,13,5,10,40.75,1.75,13,G,159,08:46.1,526.05,34,103,89,Dominic Elsworth,Sue Smith
Good,13,11,11,62.75,22,6,G,153,08:50.5,530.45,41,–,61,Mr Dominic Alers-Hankey,Josef Piruch
Good,13,4,12,78.75,16,8,G,159,08:53.7,533.65,26,101,51,Howie Ephgrave,Ferdy Murphy
Good,13,9,F,-,-,6,G,153,-,-,26,–,–,Mr J T McNamara,E Bolger
Good,3,1,1,0,0,8,G,162,06:28.4,388.4,2.25,145,144,A P McCoy,M C Pipe
Good,3,4,2,2.5,2.5,8,G,154,06:28.9,388.9,10,–,126,Carl Llewellyn,Nigel Twiston-Davies
Good,3,2,UR,-,-,6,G,162,-,-,1.91,–,–,Jim Culloty,Henrietta Knight
Good,22,12,1,0,0,6,M,155,05:14.9,314.9,21,102,118,Mr R Flavin,L J Archdeacon
Good,22,14,2,5,5,6,G,153,05:15.9,315.9,9,100,111,Jason Maguire,E McNamara
Good,22,15,3,8,3,4,G,150,05:16.5,316.5,26,97,105,Marcus Foley,John Harris
Good,22,3,4,12,4,8,G,161,05:17.3,317.3,8,108,114,C Rafter,Mrs A J Bowlby
Good,22,6,5,12.75,0.75,6,G,153,05:17.4,317.45,9,105,109,Tommy Phelan,Niall Madden
Good,22,11,6,13.25,0.5,4,G,155,05:17.6,317.55,17,102,105,Benjamin Hitchcott,Ferdy Murphy
Good,22,10,7,15.25,2,10,G,155,05:17.9,317.95,26,102,103,Mr F Windsor Clive,Reginald Brown
Good,22,7,8,16.5,1.25,8,G,153,05:18.2,318.2,9,105,105,Chris Honour,Kim Bailey
Good,22,5,9,16.5,0.1,5,M,158,05:18.2,318.22,13,105,106,Sean McDermott,P A Fahy
Good,22,1,10,17.5,1,6,G,165,05:18.4,318.4,13,112,111,Howie Ephgrave,Ferdy Murphy
Good,22,13,11,18,0.3,10,G,153,05:18.5,318.5,17,100,98,Richard Hobson,Mrs Barbara Waring
Good,22,19,12,18,0.1,6,M,141,05:18.5,318.52,21,89,86,Josh Byrne,John G Carr
Good,22,4,13,18.25,0.3,9,G,160,05:18.5,318.55,21,107,105,Henry Oliver,David Arbuthnot
Good,22,9,14,21.25,3,4,G,156,05:19.1,319.15,7,103,98,Tom Scudamore,M C Pipe
Good,22,2,15,22,0.75,5,G,162,05:19.3,319.3,15,109,103,L Cooper,Jonjo ONeill
Good,22,8,16,26,4,5,M,157,05:20.1,320.1,17,104,94,David Dennis,Ian Williams
Good,22,22,17,32,6,5,G,140,05:21.3,321.3,34,88,71,S Fitzgerald,J Clements
Good,22,16,18,44,12,8,G,147,05:23.7,323.7,26,94,66,N Hannity,Mrs D Thomson
Good,22,20,19,74,30,10,G,140,05:29.7,329.7,26,88,–,J P Elliott,Gerard Keane
Good,22,17,F,-,-,8,G,146,-,-,26,93,–,Ross Geraghty,G M ONeill
Good,22,18,F,-,-,5,G,144,-,-,15,91,–,David OLeary,P J Rothwell
Good,22,21,PU,-,-,8,G,140,-,-,51,88,–,Tony Evans,N M Babbage
Good,14,8,1,0,0,8,G,157,05:02.0,302,3.25,137,161,A P McCoy,M C Pipe
Good,14,3,2,3,3,7,G,160,05:02.6,302.6,11,140,157,Jim Culloty,Henrietta Knight
Good,14,9,3,8,5,6,G,153,05:03.6,303.6,11,133,145,Rodi Greene,M C Pipe
Good,14,11,4,19,11,10,G,142,05:05.8,305.8,26,125,129,Tom Scudamore,M C Pipe
Good,14,10,5,25,6,7,G,149,05:07.0,307,17,129,124,Mick Fitzgerald,Ian Williams
Good,14,5,6,26,1,9,G,157,05:07.2,307.2,21,140,134,Benjamin Hitchcott,D M Grissell
Good,14,6,7,34,8,7,G,159,05:08.8,308.8,11,139,126,Carl Llewellyn,Nigel Twiston-Davies
Good,14,4,8,36.5,2.5,7,G,160,05:09.3,309.3,15,140,124,Alan Dempsey,Mrs M Reveley
Good,14,1,9,37.5,1,9,G,168,05:09.5,309.5,21,148,131,Jimmy McCarthy,Lydia Richards
Good,14,7,10,43.5,6,8,G,158,05:10.7,310.7,26,138,115,B J Crowley,Venetia Williams
Good,14,2,11,65.5,22,10,G,162,05:15.1,315.1,17,142,97,Noel Fehily,Charlie Mann
Good,14,12,F,-,-,8,G,144,-,-,17,124,–,D Gallagher,Mrs M Reveley
Good,14,13,PU,-,-,11,G,143,-,-,13,123,100,Adrian Maguire,Ferdy Murphy
Good,14,14,PU,-,-,7,G,140,-,-,8,120,–,Timmy Murphy,Paul Nicholls
Good,8,1,1,0,0,3,G,160,04:03.1,243.1,3,–,118,Mick Fitzgerald,Nicky Henderson
Good,8,8,2,1.5,1.5,3,G,152,04:03.4,243.4,7.5,–,108,Jason Maguire,Tom George
Good,8,4,3,2,0.5,3,G,152,04:03.5,243.5,3.5,–,110,Charlie Swan,C F Swan
Good,8,6,4,12,10,3,G,152,04:05.5,245.5,17,–,97,David Dennis,Nick Williams
Good,8,2,5,25,13,3,C,160,04:08.1,248.1,5.5,–,95,A P McCoy,M C Pipe
Good,8,5,6,55,30,3,G,152,04:14.1,254.1,41,–,–,Jimmy McCarthy,Kevin McAuliffe
Good,8,3,PU,-,-,3,G,156,-,-,21,–,–,B J Crowley,Tony Newcombe
