class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,pos
Class 1,4yo+,1436,Good To Soft,9,5,Georgebernardshaw (IRE),5,G,126,Stevie Donohoe,David Simcock,105,105,5
Class 1,4yo+,1436,Good To Soft,9,7,Lovelace (GB),6,H,126,Adrian Nicholls,David Nicholls,106,99,6
Class 1,4yo+,1436,Good To Soft,9,4,Dream Lodge (IRE),6,G,126,Paul Hanagan,Richard Fahey,108,94,7
Class 1,4yo+,1436,Good To Soft,9,1,Autumn Blades (IRE),5,G,126,Franny Norton,Alan Bailey,99,76,8
Class 1,4yo+,1436,Good To Soft,9,9,Mias Boy (GB),6,H,126,Richard Hughes,Chris Dwyer,105,24,9
Class 5,2yo,1006,Good To Soft,6,1,Ballista (IRE),2,C,129,Richard Kingscote,Tom Dascombe,–,89,1
Class 5,2yo,1006,Good To Soft,6,6,Royal Exchange (GB),2,C,129,Richard Hughes,Richard Hannon Snr,–,88,2
Class 5,2yo,1006,Good To Soft,6,2,Barkston Ash (GB),2,C,129,Seb Sanders,Eric Alston,–,70,3
Class 5,2yo,1006,Good To Soft,6,3,Bussa (GB),2,G,129,Kieren Fallon,David Evans,–,60,4
Class 5,2yo,1006,Good To Soft,6,4,Countrywide Flame (GB),2,C,129,Paul Hanagan,Kevin Ryan,–,50,5
Class 5,2yo,1006,Good To Soft,6,5,Love Club (GB),2,C,129,David Probert,Brian Baugh,–,42,6
Class 2,4yo+,3260,Good To Soft,12,12,Dayia (IRE),6,M,122,Simon Pearce,Jeff Pearce,85,97,1
Class 2,4yo+,3260,Good To Soft,12,15,My Arch (GB),8,G,120,Barry McHugh,Ollie Pears,81,92,2
Class 2,4yo+,3260,Good To Soft,12,5,Crackentorp (GB),5,G,133,Ryan Moore,Tim Easterby,91,98,3
Class 2,4yo+,3260,Good To Soft,12,6,Stanstill (IRE),4,G,133,Philip Robinson,Alan Swinbank,93,99,4
Class 2,4yo+,3260,Good To Soft,12,14,Topolski (IRE),4,G,124,David Probert,Andrew Balding,84,88,5
Class 2,4yo+,3260,Good To Soft,12,8,Aaim To Prosper (IRE),6,G,130,Richard Hughes,Brian Meehan,88,90,6
Class 2,4yo+,3260,Good To Soft,12,17,Mith Hill (GB),9,G,122,Stevie Donohoe,Ian Williams,80,81,7
Class 2,4yo+,3260,Good To Soft,12,10,Bollin Felix (GB),6,G,127,Seb Sanders,Tim Easterby,85,81,8
Class 2,4yo+,3260,Good To Soft,12,13,Hawk Mountain (UAE),5,G,126,Graham Gibbons,John Quinn,84,64,9
Class 2,4yo+,3260,Good To Soft,12,3,Cosmic Sun (GB),4,G,134,Paul Hanagan,Richard Fahey,94,54,10
Class 2,4yo+,3260,Good To Soft,12,1,Urban Poet (USA),4,C,140,Ted Durcan,Saeed bin Suroor,100,20,11
Class 2,4yo+,3260,Good To Soft,12,4,Raincoat (GB),6,G,133,Kieren Fallon,Barry Brennan,91,8,12
Class 3,3yo,1436,Good To Soft,9,2,Navajo Chief (GB),3,C,129,Kieren Fallon,Alan Jarvis,94,105,1
Class 3,3yo,1436,Good To Soft,9,3,Eton Forever (IRE),3,C,127,Philip Robinson,Michael Jarvis,92,97,2
Class 3,3yo,1436,Good To Soft,9,1,Colepeper (GB),3,C,130,Greg Fairley,Mark Johnston,95,95,3
Class 3,3yo,1436,Good To Soft,9,11,Rock N Royal (GB),3,G,117,Paul Hanagan,Richard Fahey,82,71,4
Class 3,3yo,1436,Good To Soft,9,6,Quiet (GB),3,F,122,Ryan Moore,Roger Charlton,87,66,5
Class 3,3yo,1436,Good To Soft,9,4,Bond Fastrac (GB),3,C,122,Barry McHugh,Geoff Oldroyd,90,57,6
Class 3,3yo,1436,Good To Soft,9,8,Elspeths Boy (USA),3,C,122,Ted Durcan,John Best,87,47,7
Class 3,3yo,1436,Good To Soft,9,5,Shes A Character (GB),3,F,123,Richard Hughes,Richard Fahey,88,37,8
Class 3,3yo,1436,Good To Soft,9,7,Niran (IRE),3,G,122,Seb Sanders,Clive Brittain,87,31,9
Class 5,3yo+,2373,Good,14,13,Very Good Day (FR),3,C,125,Alan Munro,Mick Channon,–,80,1
Class 5,3yo+,2373,Good,14,1,Cotillion (GB),4,G,140,Stevie Donohoe,Ian Williams,73,78,2
Class 5,3yo+,2373,Good,14,6,Joseph Lister (GB),3,C,125,Martin Dwyer,John Gosden,–,77,3
Class 5,3yo+,2373,Good,14,2,Emerging Artist (FR),4,G,140,Frankie Dettori,Mark Johnston,–,75,4
Class 5,3yo+,2373,Good,14,14,Candotoo (IRE),3,F,120,Tom Queally,Jeremy Noseda,–,67,5
Class 5,3yo+,2373,Good,14,11,Tigranes The Great (IRE),3,C,125,Jerry ODwyer,Marco Botti,–,61,6
Class 5,3yo+,2373,Good,14,3,Kansai Spirit (IRE),4,G,140,Robert Havlin,John Gosden,80,61,7
Class 5,3yo+,2373,Good,14,15,Ellbeedee (IRE),3,F,120,Philip Robinson,Michael Jarvis,–,51,8
