class,age_band,dist_m,going,ran,num,horse,age,sex,lbs,jockey,trainer,or,rpr,pos
Class 2,4yo+,3260,Soft,4,4,Samraan (USA),6,H,123,T Quinn,John Dunlop,110,103,1
Class 2,4yo+,3260,Soft,4,1,Raise A Prince (FR),6,G,127,Neil Callan,S Woods,100,106,2
Class 2,4yo+,3260,Soft,4,3,Mardani (IRE),4,G,124,John Carroll,Mark Johnston,–,96,3
Class 2,4yo+,3260,Soft,4,2,Loveman (USA),5,G,126,Ray Cochrane,Kevin Morgan,–,93,4
Class 3,4yo+,2373,Soft,9,6,Coulthard I (IRE),6,G,126,Tony Culhane,Pam Sly,85,96,1
Class 3,4yo+,2373,Soft,9,3,Elhayq (IRE),4,C,134,T Quinn,John Dunlop,94,101,2
Class 3,4yo+,2373,Soft,9,5,Cugina (GB),5,M,131,Russell Price,G B Balding,90,98,3
Class 3,4yo+,2373,Soft,9,2,Hajr (IRE),5,G,136,Kevin Darley,Ed Dunlop,95,91,4
Class 3,4yo+,2373,Soft,9,9,Steamroller Stanly (GB),6,G,111,Franny Norton,K R Burke,70,57,5
Class 3,4yo+,2373,Soft,9,1,Weet-A-Minute (IRE),6,H,131,Neil Callan,Reg Hollinshead,95,78,6
Class 3,4yo+,2373,Soft,9,7,Gatecrasher II (GB),4,G,123,Ray Cochrane,James Fanshawe,83,57,7
Class 3,4yo+,2373,Soft,9,8,China Castle (GB),6,G,116,Dale Gibson,P C Haslam,75,14,8
Class 3,4yo+,2373,Soft,9,4,Robin Lane (GB),4,F,132,Darryll Holland,Mark Johnston,92,14,9
Class 1,3yo,1006,Soft,7,1,Inya Lake (GB),3,F,125,T Quinn,Mick Channon,105,101,1
Class 1,3yo,1006,Soft,7,3,Henry Hall (IRE),3,C,123,Willie Ryan,Nigel Tinkler,98,99,2
Class 1,3yo,1006,Soft,7,6,Damalis (IRE),3,F,118,John Carroll,Eric Alston,94,89,3
Class 1,3yo,1006,Soft,7,2,Bon Ami (IRE),3,G,123,Kevin Darley,J Berry,95,94,4
Class 1,3yo,1006,Soft,7,7,Saphire (GB),3,F,118,Tony Culhane,C B B Booth,94,88,5
Class 1,3yo,1006,Soft,7,5,Susans Pride I (IRE),3,G,123,Darryll Holland,Brian Meehan,–,89,6
Class 1,3yo,1006,Soft,7,4,Perugino Bay (IRE),3,C,123,George Duffield,B A McMahon,107,60,7
Class 5,2yo,1006,Soft,11,6,Pipadash (IRE),2,F,112,Robert Winston,Tim Easterby,–,72,1
Class 5,2yo,1006,Soft,11,7,Taras Girl (IRE),2,F,108,Dean Mernagh,John Quinn,–,69,2
Class 5,2yo,1006,Soft,11,1,Heathyards Lad (IRE),2,G,118,Tony Culhane,Reg Hollinshead,–,68,3
Class 5,2yo,1006,Soft,11,9,Shouldhavegonehome (IRE),2,F,105,Chris D Cogan,David Evans,–,61,4
Class 5,2yo,1006,Soft,11,11,Top Of The Class (IRE),2,F,110,Franny Norton,Martyn Wane,–,56,5
Class 5,2yo,1006,Soft,11,2,Nifty Major (GB),2,G,118,Kevin Darley,J Berry,–,62,6
Class 5,2yo,1006,Soft,11,4,Xenos (GB),2,G,118,T Quinn,Mick Channon,–,61,7
Class 5,2yo,1006,Soft,11,10,Sweet Haven (GB),2,F,110,T Williams,M J Heaton-Ellis,–,50,8
Class 5,2yo,1006,Soft,11,8,Willrack Times (GB),2,F,114,George Duffield,B A McMahon,–,52,9
Class 5,2yo,1006,Soft,11,3,Power And Demand (GB),2,G,118,Joe Fanning,Derek Shaw,–,47,10
Class 5,2yo,1006,Soft,11,5,Shaw Venture (GB),2,G,115,T Sprake,Bryn Palling,–,43,11
Class 3,3yo,2121,Soft,9,1,Nowhere To ExitI (GB),3,C,133,T Quinn,John Dunlop,91,108,1
Class 3,3yo,2121,Soft,9,3,Moutahddee (IRE),3,C,129,T Sprake,Marcus Tregoning,87,96,2
Class 3,3yo,2121,Soft,9,8,Little Pippin I (GB),3,F,119,P P Murphy,G B Balding,80,84,3
Class 3,3yo,2121,Soft,9,6,Raneen Nashwan (GB),3,G,119,P T Cleary,Mick Channon,84,81,4
Class 3,3yo,2121,Soft,9,9,Windshift (IRE),3,G,117,Robert Winston,Derek Shaw,78,53,5
Class 3,3yo,2121,Soft,9,4,Weet For Me (GB),3,C,128,Tony Culhane,Reg Hollinshead,86,60,6
Class 3,3yo,2121,Soft,9,2,River Times (USA),3,C,131,Kevin Darley,Tim Easterby,89,43,7
Class 3,3yo,2121,Soft,9,5,Hishmah (GB),3,F,127,Willie Ryan,Ed Dunlop,85,38,8
Class 3,3yo,2121,Soft,9,7,Stolen Tear (FR),3,F,125,Darryll Holland,Mark Johnston,83,35,9
Class 4,3yo,1436,Soft,7,5,Now Look Here (GB),3,G,126,T Quinn,B A McMahon,77,88,1
Class 4,3yo,1436,Soft,7,2,Compatriot I (IRE),3,G,126,Willie Ryan,N A Callaghan,91,87,2
Class 4,3yo,1436,Soft,7,3,Ilissus (USA),3,G,126,T Sprake,Marcus Tregoning,–,79,3
Class 4,3yo,1436,Soft,7,1,Areen Alasad (GB),3,C,126,John Carroll,Michael Jarvis,–,67,4
Class 4,3yo,1436,Soft,7,7,Bollin Roberta (GB),3,F,118,Robert Winston,Tim Easterby,70,60,5
Class 4,3yo,1436,Soft,7,6,Trumpet Blues (USA),3,G,126,Kevin Darley,John Dunlop,–,56,6
Class 4,3yo,1436,Soft,7,4,Larimar Bay (GB),3,G,126,Tom McLaughlin,Mark Brisbourne,–,38,7
Class 1,3yo+,1436,Good,10,6,Late Night Out (GB),4,G,123,Michael Tebbutt,William Jarvis,99,108,1
Class 1,3yo+,1436,Good,10,1,Ramooz (USA),6,H,134,Willie Ryan,B Hanbury,110,116,2
Class 1,3yo+,1436,Good,10,10,Emilys Luck Charm (USA),3,C,119,John Carroll,Sir Michael Stoute,107,111,3
Class 1,3yo+,1436,Good,10,9,AdjutantI (GB),4,G,120,W J OConnor,Brian Meehan,96,98,4
Class 1,3yo+,1436,Good,10,7,Return Of Amin (GB),5,G,120,Simon Whitworth,James Bethell,96,96,5
Class 1,3yo+,1436,Good,10,8,Kayo (GB),4,G,120,Ollie Pears,Tim Etherington,96,96,6
Class 1,3yo+,1436,Good,10,2,Jo Mell (GB),6,G,131,Kevin Darley,Tim Easterby,107,101,7
Class 1,3yo+,1436,Good,10,4,Grannys Pet (GB),5,G,124,Tony Clark,Paul Cole,100,87,8
Class 1,3yo+,1436,Good,10,5,Beauchamp King (GB),6,H,124,C Rutter,Gerard Butler,100,84,9
Class 1,3yo+,1436,Good,10,3,Hornbeam (GB),5,H,125,Tony Culhane,J R Jenkins,101,70,10
Class 4,2yo,1006,Good,5,1,Gipsy Anna (IRE),2,F,123,W J OConnor,Brian Meehan,–,63,1
Class 4,2yo,1006,Good,5,3,Shouldhavegonehome (IRE),2,F,123,John Carroll,David Evans,–,58,2
Class 4,2yo,1006,Good,5,2,High Capacity (IRE),2,F,123,Kevin Darley,Tim Easterby,–,52,3
Class 4,2yo,1006,Good,5,5,Victoriet (GB),2,F,123,J Stack,A T Murphy,–,51,4
Class 4,2yo,1006,Good,5,4,Siana Springs (IRE),2,F,123,Tony Culhane,John Quinn,–,51,5
Class 4,3yo,2121,Good,7,2,Elhilmeya (IRE),3,F,123,R Perham,Marcus Tregoning,–,88,1
Class 4,3yo,2121,Good,7,7,Zariliya (IRE),3,F,123,Kevin Darley,Sir Michael Stoute,–,85,2
Class 4,3yo,2121,Good,7,4,Passe Passe (USA),3,F,123,Willie Ryan,G Wragg,–,82,3
Class 4,3yo,2121,Good,7,6,Thermopylae (GB),3,F,123,Tony Clark,Paul Cole,80,79,4
Class 4,3yo,2121,Good,7,1,Alheyrah (GB),3,F,123,J Stack,B Hanbury,–,64,5
Class 4,3yo,2121,Good,7,3,My Annette (USA),3,F,123,Richard Hughes,James Fanshawe,–,57,6
Class 4,3yo,2121,Good,7,5,Sally Hopper (GB),3,F,118,Paul Goode,Jonjo ONeill,–,54,7
Class 3,3yo+,1207,Good,6,6,Guinea Hunter (IRE),3,G,117,John Carroll,Tim Easterby,97,103,1
Class 3,3yo+,1207,Good,6,2,Superior Premium (GB),5,H,134,Tony Culhane,Richard Fahey,106,105,2
Class 3,3yo+,1207,Good,6,1,Fire Dome (IRE),7,G,136,Alex Greaves,David Nicholls,103,98,3
Class 3,3yo+,1207,Good,6,3,Let It Rain (NZ),4,G,124,Robbie Fitzpatrick,Mark Johnston,–,84,4
Class 3,3yo+,1207,Good,6,4,Lord Kintyre (GB),4,G,124,Richard Hughes,Rod Millman,105,67,5
Class 3,3yo+,1207,Good,6,5,Selhurstpark Flyer (IRE),8,G,117,P Bradley,J Berry,100,56,6
Class 4,4yo+,2816,Good,10,4,Sadlers Realm (GB),6,G,125,Kevin Darley,Philip Hobbs,65,84,1
Class 4,4yo+,2816,Good,10,3,Aldwych Arrow (IRE),4,G,125,John Carroll,Mark Buckley,66,75,2
Class 4,4yo+,2816,Good,10,6,Ledgendry Line (GB),6,G,123,Tony Culhane,Mrs M Reveley,63,71,3
Class 4,4yo+,2816,Good,10,9,Give An Inch (IRE),4,F,118,T Williams,Wilf Storey,59,67,4
Class 4,4yo+,2816,Good,10,5,Needwood Spirit (GB),4,G,124,Simon Whitworth,B C Morgan,65,67,5
Class 4,4yo+,2816,Good,10,10,Highfield Fizz (GB),7,M,101,Paul Quinn,Chris Fairhurst,48,49,6
Class 4,4yo+,2816,Good,10,8,Northern Law (GB),7,G,119,C Rutter,Mrs J Smyth-Osbourne,59,59,7
Class 4,4yo+,2816,Good,10,1,Sugar Mill I (GB),9,G,135,S Copp,Mrs M Reveley,80,71,8
Class 4,4yo+,2816,Good,10,2,Netta Rufina (IRE),4,G,129,Robbie Fitzpatrick,Mark Johnston,75,53,9
Class 4,4yo+,2816,Good,10,7,Turgenev (IRE),10,G,122,Willie Ryan,Robin Bastiman,62,1,10
Class 5,2yo,1006,Good,11,6,Heathyardsblessing (IRE),2,G,115,J F Egan,Reg Hollinshead,–,69,1
Class 5,2yo,1006,Good,11,7,Maron (GB),2,G,116,John Carroll,J Berry,–,64,2
Class 5,2yo,1006,Good,11,2,Bally Cyrano (GB),2,G,119,Ray Cochrane,B A McMahon,–,64,3
Class 5,2yo,1006,Good,11,4,Noble Reef (GB),2,G,118,Pat Eddery,Geraldine Rees,–,61,4
Class 5,2yo,1006,Good,11,5,Pips Star (GB),2,F,116,Simon Whitworth,David Arbuthnot,–,52,5
Class 5,2yo,1006,Good,11,1,Westgate Run (GB),2,F,119,M Roberts,Richard Fahey,–,54,6
Class 5,2yo,1006,Good,11,8,Dancing Empress (GB),2,F,114,Philip Robinson,Michael Jarvis,–,47,7
Class 5,2yo,1006,Good,11,10,Essie (GB),2,F,107,Antonio Polli,Clive Brittain,–,43,8
Class 5,2yo,1006,Good,11,11,Longchamp Lady (GB),2,F,110,Paul Fessey,J Berry,–,42,9
Class 5,2yo,1006,Good,11,3,Bluegrass Mountain (GB),2,G,118,Kevin Darley,Tim Easterby,–,48,10
Class 5,2yo,1006,Good,11,9,Dusky Virgin (GB),2,F,110,Martin Dwyer,Mick Quinn,–,40,11
Class 3,3yo+,1637,Good,7,7,Alrassaam (GB),3,C,116,Philip Robinson,Michael Jarvis,102,115,1
Class 3,3yo+,1637,Good,7,5,Teapot Row (IRE),4,C,125,Pat Eddery,James Toller,106,111,2
Class 3,3yo+,1637,Good,7,4,Sorbie Tower (IRE),6,H,125,Ray Cochrane,Gay Kelleway,110,110,3
Class 3,3yo+,1637,Good,7,3,Ridgeway (IRE),4,G,125,M Roberts,G Wragg,107,95,4
Class 3,3yo+,1637,Good,7,1,Eaton Square (USA),4,C,128,Kieren Fallon,Sir Henry Cecil,109,94,5
Class 3,3yo+,1637,Good,7,6,Weet-A-Minute (IRE),6,H,125,Frankie Dettori,Reg Hollinshead,88,90,6
Class 3,3yo+,1637,Good,7,2,Jo Mell (GB),6,G,125,Kevin Darley,Tim Easterby,104,81,7
Class 3,4yo+,1637,Good,15,12,Taffs Well (GB),6,G,121,Kieren Fallon,Brian Ellison,69,84,1
Class 3,4yo+,1637,Good,15,4,Nominator Lad (GB),5,G,132,Ray Cochrane,B A McMahon,80,89,2
Class 3,4yo+,1637,Good,15,9,Bold King (GB),4,G,128,Michael Hills,J W Hills,76,82,3
Class 3,4yo+,1637,Good,15,6,Weetmans Weigh (IRE),6,H,129,Frankie Dettori,Reg Hollinshead,77,81,4
Class 3,4yo+,1637,Good,15,8,Jay-Owe-Two (IRE),5,G,129,Dean McKeown,Richard Whitaker,77,80,5
Class 3,4yo+,1637,Good,15,3,Bergen (IRE),4,G,133,Pat Eddery,B W Hills,81,81,6
Class 3,4yo+,1637,Good,15,2,Kala Sunrise (GB),6,H,132,Adrian McCarthy,Charles Smith,83,82,7
Class 3,4yo+,1637,Good,15,13,Bowcliffe (GB),8,G,120,Willie Supple,Eric Alston,68,64,8
Class 3,4yo+,1637,Good,15,5,Adulation I (USA),5,G,132,Simon Whitworth,Peter Chapple-Hyam,80,73,9
Class 3,4yo+,1637,Good,15,7,Pass The Rest (IRE),4,G,129,T Williams,Derek Shaw,77,70,10
Class 3,4yo+,1637,Good,15,14,Bollin Frank (GB),7,G,119,L Charnock,Tim Easterby,67,58,11
Class 3,4yo+,1637,Good,15,15,Danakil (GB),4,G,115,Neil Pollard,J E Banks,66,56,12
Class 3,4yo+,1637,Good,15,1,Alconleigh (GB),4,G,138,John Carroll,Mark Johnston,86,72,13
Class 3,4yo+,1637,Good,15,11,Magic Mill (IRE),6,G,123,J F Egan,Jim Goldie,71,37,14
Class 3,4yo+,1637,Good,15,10,Circuiteer (IRE),4,G,128,Kevin Darley,J Berry,76,33,15
Class 3,3yo,2121,Good,7,2,Mayo (GB),3,G,122,Kieren Fallon,Sir Henry Cecil,83,103,1
Class 3,3yo,2121,Good,7,1,Senure (USA),3,C,133,T Sprake,Roger Charlton,94,101,2
Class 3,3yo,2121,Good,7,4,Ginos Spirits (GB),3,F,121,Philip Robinson,Clive Brittain,82,87,3
Class 3,3yo,2121,Good,7,5,Tactful Remark (USA),3,C,121,Frankie Dettori,John Gosden,82,79,4
Class 3,3yo,2121,Good,7,3,Otahuna (GB),3,G,121,Kevin Darley,Reg Hollinshead,82,67,5
Class 3,3yo,2121,Good,7,7,Hadeqa (GB),3,G,116,Willie Supple,David Evans,77,59,6
Class 3,3yo,2121,Good,7,6,Gentleman Venture (GB),3,G,121,Pat Eddery,S Woods,82,13,7
Class 6,2yo,1006,Good,9,8,Siana Springs (IRE),2,F,118,Willie Supple,John Quinn,–,62,1
Class 6,2yo,1006,Good,9,9,Step Ahead (IRE),2,F,118,Steve Drowne,Pat Murphy,–,54,2
Class 6,2yo,1006,Good,9,3,Tinsel Whistle (GB),2,G,123,Philip Robinson,Michael Jarvis,–,55,3
Class 6,2yo,1006,Good,9,2,Time Goes By I (IRE),2,G,118,P Bradley,J Berry,–,52,4
Class 6,2yo,1006,Good,9,6,Namaqualass (IRE),2,F,118,Martin Dwyer,Mick Quinn,–,47,5
Class 6,2yo,1006,Good,9,5,Consideration (IRE),2,F,118,Kevin Darley,J Berry,–,45,6
Class 6,2yo,1006,Good,9,1,Apple Peeler (IRE),2,F,120,Adrian McCarthy,Kevin Ryan,–,46,7
Class 6,2yo,1006,Good,9,4,Bold Bounty (GB),2,F,111,M Semple,Mel Brittain,–,26,8
Class 6,2yo,1006,Good,9,7,Shouldhavegonehome (IRE),2,F,118,J F Egan,David Evans,–,25,9
Class 4,3yo,2373,Good,8,7,Summer Splendour (USA),3,F,123,Michael Hills,B W Hills,–,84,1
Class 4,3yo,2373,Good,8,6,Sena Desert (GB),3,F,123,Philip Robinson,Clive Brittain,94,82,2
Class 4,3yo,2373,Good,8,4,Passe Passe (USA),3,F,123,M Roberts,G Wragg,–,82,3
Class 4,3yo,2373,Good,8,1,Clandestine (GB),3,F,123,Frankie Dettori,John Gosden,–,82,4
Class 4,3yo,2373,Good,8,8,Tegyra (IRE),3,F,123,John Carroll,Michael Jarvis,–,56,5
Class 4,3yo,2373,Good,8,3,Greek Myth (IRE),3,F,123,Kieren Fallon,Roger Charlton,–,53,6
Class 4,3yo,2373,Good,8,5,Sanariya (IRE),3,F,123,Ray Cochrane,Sir Michael Stoute,–,53,7
Class 4,3yo,2373,Good,8,2,El Gran Love (USA),3,F,123,L Charnock,Tim Easterby,–,51,8
Class 5,3yo,1207,Good,20,1,Pandjojoe (IRE),3,G,126,Paul Hanagan,Richard Fahey,70,80,1
Class 5,3yo,1207,Good,20,13,Three Leaders (IRE),3,G,114,P Clarke,David Nicholls,51,59,2
Class 5,3yo,1207,Good,20,3,Tous Les Jours (USA),3,F,128,Pat Dobbs,Mark Johnston,65,68,3
Class 5,3yo,1207,Good,20,10,Westwood View (GB),3,F,117,Chris D Cogan,John Quinn,54,56,4
Class 5,3yo,1207,Good,20,8,Sugar Cube Treat (GB),3,F,118,J Gotobed,Michael Mullineaux,55,56,5
Class 5,3yo,1207,Good,20,20,E B Pearl (GB),3,F,108,Jonjo Fowle,Neville Bycroft,45,40,6
Class 5,3yo,1207,Good,20,14,Lady Annabel (GB),3,F,109,I Grantham,Chris Fairhurst,51,39,7
Class 5,3yo,1207,Good,20,17,Now Is The Hour (GB),3,G,103,Nicola Wright,P S Felgate,45,31,8
Class 5,3yo,1207,Good,20,2,Midnight Orchid (IRE),3,F,133,P Bradley,J Berry,70,56,9
Class 5,3yo,1207,Good,20,12,Against The Bill (IRE),3,G,113,S D Finnamore,Tim Easterby,53,27,10
Class 5,3yo,1207,Good,20,21,Starvine (GB),3,F,105,Jenny Benson,Derek Shaw,45,13,11
Class 5,3yo,1207,Good,20,9,Cool Katie (GB),3,F,112,D Glennon,Kevin Ryan,54,21,12
Class 5,3yo,1207,Good,20,11,Call Me Lucky (GB),3,F,110,M Semple,Mel Brittain,52,17,13
Class 5,3yo,1207,Good,20,4,Petit Palais (IRE),3,G,125,Darren Williams,David Evans,62,25,14
Class 5,3yo,1207,Good,20,5,Bodfari Anna (GB),3,F,123,Robyn Brisland,Les Eyre,60,11,15
Class 5,3yo,1207,Good,20,19,Free Finish (IRE),3,F,108,Emily Joyce,Nigel Tinkler,50,–,16
Class 5,3yo,1207,Good,20,7,Rebecca Jay (GB),3,F,116,S Buckley,M G Meagher,56,–,17
Class 5,3yo,1207,Good,20,6,The Rain Lady (GB),3,F,122,Paul Fitzsimons,Reg Hollinshead,59,–,18
Class 5,3yo,1207,Good,20,15,Kissimmee Bay (IRE),3,F,114,John McAuley,Nigel Tinkler,51,1,19
Class 5,3yo,1207,Good,20,18,Woodcut (IRE),3,G,109,S A Curtis,P S Felgate,49,1,20
Class 2,3yo+,1006,Good,18,7,Night Flight (GB),5,G,118,Robert Winston,Richard Fahey,86,98,1
Class 2,3yo+,1006,Good,18,1,Tadeo (GB),6,G,140,Dean McKeown,Brian Meehan,105,116,2
Class 2,3yo+,1006,Good,18,11,Sylva Paradise (IRE),6,G,116,Philip Robinson,Clive Brittain,81,89,3
Class 2,3yo+,1006,Good,18,9,Indian Spark (GB),5,G,119,Tony Culhane,Jim Goldie,84,90,4
Class 2,3yo+,1006,Good,18,3,Levelled (GB),5,G,132,Pat Eddery,Mick Channon,97,102,5
Class 2,3yo+,1006,Good,18,10,Rudis Pet (IRE),5,G,117,George Duffield,David Nicholls,82,86,6
Class 2,3yo+,1006,Good,18,6,Moon Strike (FR),9,G,122,J Weaver,Miss I Foustok,87,90,7
Class 2,3yo+,1006,Good,18,16,Gay Breeze (GB),6,G,105,Adrian Nicholls,P S Felgate,75,77,8
Class 2,3yo+,1006,Good,18,18,Ansellman (GB),9,G,108,L Charnock,J Berry,73,74,9
Class 2,3yo+,1006,Good,18,15,Unshaken (GB),5,H,113,Willie Supple,Eric Alston,78,79,10
Class 2,3yo+,1006,Good,18,13,The Gay Fox (GB),5,G,114,Royston Ffrench,B A McMahon,79,79,11
Class 2,3yo+,1006,Good,18,8,Qilin (IRE),4,F,120,Steve Drowne,Mark H Tompkins,85,83,12
Class 2,3yo+,1006,Good,18,4,Friar Tuck (GB),4,G,128,M Roberts,Linda Perratt,93,89,13
Class 2,3yo+,1006,Good,18,2,First Maite (GB),6,G,133,Jimmy Fortune,Roy Bowring,98,93,14
Class 2,3yo+,1006,Good,18,14,Divine Miss-P (GB),6,M,111,Richard Mullen,J Cullinan,79,71,15
Class 2,3yo+,1006,Good,18,5,Classy Cleo (IRE),4,F,123,J F Egan,David Evans,88,79,16
Class 2,3yo+,1006,Good,18,12,Iris May (GB),4,F,115,Paul Fessey,J Berry,80,68,17
Class 2,3yo+,1006,Good,18,17,Miss FitI (IRE),3,F,105,Angela Hartley,Geraldine Rees,85,55,18
Class 1,3yo,1207,Good,15,6,Cubism I (USA),3,C,124,Matthew Henry,J W Hills,96,105,1
Class 1,3yo,1207,Good,15,7,Munjiz (IRE),3,C,124,Richard Hills,B W Hills,96,105,2
Class 1,3yo,1207,Good,15,3,Guinea Hunter (IRE),3,G,129,Jimmy Fortune,Tim Easterby,101,108,DSQ
Class 1,3yo,1207,Good,15,10,Pips Magic (IRE),3,G,119,Tony Culhane,Jim Goldie,91,96,3
Class 1,3yo,1207,Good,15,5,Threat (GB),3,G,127,Willie Ryan,John Gosden,99,101,4
Class 1,3yo,1207,Good,15,13,Champagne Rider (GB),3,G,119,J F Egan,Kevin McAuliffe,91,92,5
Class 1,3yo,1207,Good,15,8,Sunley Sense (GB),3,G,124,Steve Drowne,Mick Channon,96,97,6
Class 1,3yo,1207,Good,15,15,Zippergate (GB),3,C,119,Pat Eddery,B W Hills,91,89,7
Class 1,3yo,1207,Good,15,9,Bon Ami (IRE),3,G,123,Dean McKeown,J Berry,95,92,8
Class 1,3yo,1207,Good,15,2,Caballero (GB),3,C,133,Philip Robinson,Clive Brittain,105,101,9
Class 1,3yo,1207,Good,15,4,Henry Hall (IRE),3,C,128,George Duffield,Nigel Tinkler,100,96,9
Class 1,3yo,1207,Good,15,1,Light The Rocket (IRE),3,G,133,Dane ONeill,Richard Hannon Snr,105,100,11
Class 1,3yo,1207,Good,15,11,Cybinka (GB),3,F,119,M Roberts,Richard Hannon Snr,91,86,12
Class 1,3yo,1207,Good,15,14,Fearby Cross (IRE),3,G,120,J Weaver,James Bethell,92,86,13
Class 1,3yo,1207,Good,15,12,Now Look Here (GB),3,G,119,Willie Supple,B A McMahon,91,83,14
Class 2,3yo,1637,Good,17,7,Date (GB),3,C,125,Willie Ryan,Ed Dunlop,97,106,1
Class 2,3yo,1637,Good,17,17,Riverblue I (IRE),3,G,115,Steve Drowne,Mick Channon,87,94,2
Class 2,3yo,1637,Good,17,8,Swallow Flight (IRE),3,C,125,M Roberts,G Wragg,97,101,3
Class 2,3yo,1637,Good,17,9,Hoh Steamer (IRE),3,G,118,Richard Mullen,Michael Bell,93,96,4
Class 2,3yo,1637,Good,17,16,Kaibo (GB),3,C,115,Dane ONeill,Richard Hannon Snr,87,81,5
Class 2,3yo,1637,Good,17,12,Sergeant York (GB),3,G,114,Robbie Fitzpatrick,Charles Smith,91,82,6
Class 2,3yo,1637,Good,17,1,Kuwait Dawn (IRE),3,F,133,J F Egan,K Mahdi,105,96,7
Class 2,3yo,1637,Good,17,5,World Alert (IRE),3,C,126,Jimmy Fortune,Peter Chapple-Hyam,98,89,8
Class 2,3yo,1637,Good,17,13,Mukasol (GB),3,C,118,Royston Ffrench,Luca Cumani,90,80,9
Class 2,3yo,1637,Good,17,6,Juno Marlowe (IRE),3,F,125,Pat Eddery,P W Harris,97,86,10
Class 2,3yo,1637,Good,17,14,Sylva Legend (USA),3,G,117,Philip Robinson,Clive Brittain,89,76,11
Class 2,3yo,1637,Good,17,11,Billy McCaw (GB),3,C,120,Tony Culhane,Paul Cole,92,77,12
Class 2,3yo,1637,Good,17,4,Ice (GB),3,G,126,J Weaver,Mark Johnston,98,81,13
Class 2,3yo,1637,Good,17,18,Kinan (USA),3,G,115,Michael Hills,R W Armstrong,87,70,14
Class 2,3yo,1637,Good,17,3,Haafiz (IRE),3,C,131,Richard Hills,B Hanbury,103,83,15
Class 2,3yo,1637,Good,17,10,River Times (USA),3,C,118,Robert Winston,Tim Easterby,93,72,16
Class 2,3yo,1637,Good,17,2,Evening Promise (GB),3,F,132,Willie Supple,B A McMahon,104,75,17
Class 4,2yo,1006,Good,7,7,Tabheej (IRE),2,F,123,Richard Hills,B W Hills,–,78,1
Class 4,2yo,1006,Good,7,3,Jemima (GB),2,F,123,L Charnock,Tim Easterby,–,71,2
Class 4,2yo,1006,Good,7,2,Antonias Dream (GB),2,F,123,Jimmy Fortune,J Berry,–,70,3
Class 4,2yo,1006,Good,7,4,Kanaka Creek (USA),2,F,123,Paul Fessey,J Berry,–,61,4
Class 4,2yo,1006,Good,7,5,Kelso Magic (USA),2,F,123,Pat Eddery,Brian Meehan,–,46,5
Class 4,2yo,1006,Good,7,1,Amoras (IRE),2,F,123,Michael Hills,J W Hills,–,42,6
Class 4,2yo,1006,Good,7,8,T Gs Girl (GB),2,F,123,Dane ONeill,Richard Hannon Snr,–,40,7
Class 4,3yo+,1436,Good,15,4,Celtic Cross (GB),4,F,131,Pat Eddery,Sir Michael Stoute,–,85,1
Class 4,3yo+,1436,Good,15,10,Alaama (IRE),3,F,120,Richard Hills,R W Armstrong,–,73,2
Class 4,3yo+,1436,Good,15,12,Danamala (GB),3,F,120,Dane ONeill,Richard Hannon Snr,–,71,3
Class 4,3yo+,1436,Good,15,8,Island House (IRE),3,C,125,M Roberts,G Wragg,80,75,4
Class 4,3yo+,1436,Good,15,14,Legacy Of Love (GB),3,F,120,Michael Hills,B W Hills,–,69,5
Class 4,3yo+,1436,Good,15,6,Atlantic Charter (USA),3,G,125,Jimmy Fortune,Peter Chapple-Hyam,–,72,6
Class 4,3yo+,1436,Good,15,3,Wandering Wolf (GB),4,C,136,George Duffield,S Woods,75,69,7
Class 4,3yo+,1436,Good,15,15,West One (GB),3,F,120,Royston Ffrench,Luca Cumani,–,61,8
Class 4,3yo+,1436,Good,15,5,Danehill Flame (IRE),4,F,131,Tony Culhane,P W Harris,–,54,9
Class 4,3yo+,1436,Good,15,2,Reachforyourpocket (IRE),4,G,136,Willie Supple,K Mahdi,–,57,10
Class 4,3yo+,1436,Good,15,13,Delta Georgia (GB),3,F,120,Steve Drowne,Alan Bailey,–,49,11
Class 4,3yo+,1436,Good,15,7,Flower State (GB),3,G,125,Willie Ryan,John Gosden,–,53,12
Class 4,3yo+,1436,Good,15,1,Dinar I (USA),4,C,133,P P Murphy,Peter Bowen,–,53,13
Class 4,3yo+,1436,Good,15,11,Bodfari Vista (GB),3,F,120,J Weaver,B W Hills,–,47,14
Class 4,3yo+,1436,Good,15,9,Mighty Arthur (GB),3,G,122,Robert Winston,Derek Shaw,–,45,15
Class 4,3yo,2121,Good,14,10,Samasakhan (IRE),3,C,126,Fergal Lynch,Sir Michael Stoute,–,89,1
Class 4,3yo,2121,Good,14,4,Elmutabaki (GB),3,G,126,Richard Hills,B W Hills,90,97,2
Class 4,3yo,2121,Good,14,6,Inigo Jones (IRE),3,G,126,Pat Eddery,P W Harris,–,83,3
Class 4,3yo,2121,Good,14,7,Makarim (IRE),3,G,126,Michael Hills,N A Graham,–,80,4
Class 4,3yo,2121,Good,14,3,Deputise (IRE),3,C,126,Dane ONeill,John Gosden,–,78,5
Class 4,3yo,2121,Good,14,14,Follow That Dream (GB),3,F,121,Willie Ryan,Ed Dunlop,–,73,6
Class 4,3yo,2121,Good,14,8,Royal Dance (USA),3,C,126,George Duffield,Clive Brittain,–,76,7
Class 4,3yo,2121,Good,14,2,Colonial State (USA),3,C,126,Jimmy Fortune,Peter Chapple-Hyam,–,75,8
