2,5,2,0,0,10,166,137,146,1
2,5,5,5,5,7,149,120,124,2
2,5,4,16,11,8,158,129,124,3
2,5,1,25,9,9,166,137,128,4
2,5,3,55,30,9,159,130,98,5
3,9,3,0,0,9,161,129,144,1
3,9,2,0.1,0.1,9,162,130,142,2
3,9,10,6,6,10,151,119,125,3
3,9,7,12,6,8,155,123,126,4
3,9,11,13.5,1.5,8,142,110,110,5
3,9,12,24.5,11,9,140,108,96,6
3,9,5,24.75,0.2,9,151,126,113,7
3,9,4,47.75,23,7,161,129,118,8
3,9,8,0,0,6,153,121,0,0
2,6,2,0,0,3,145,0,96,1
2,6,1,0.2,0.2,3,157,0,99,2
2,6,5,3.25,3,3,152,0,91,3
2,6,6,4.25,1,3,147,0,85,4
2,6,4,30.25,26,3,152,0,75,5
2,6,3,0,0,3,152,0,0,0
2,5,2,0,0,10,162,155,137,1
2,5,3,1.5,1.5,6,162,151,137,2
2,5,5,3.25,1.75,6,159,128,131,3
2,5,6,25.25,22,4,154,0,106,4
2,5,4,35.25,10,7,162,134,106,5
2,9,8,0,0,5,153,0,124,1
2,9,2,6,6,6,155,106,118,2
2,9,1,6.5,0.5,8,168,113,127,3
2,9,4,6.75,0.2,7,153,109,113,4
2,9,5,10.75,4,7,153,0,110,5
2,9,6,34.75,24,5,153,85,84,6
2,9,9,50.75,16,9,150,0,68,7
2,9,7,51.5,0.75,6,153,0,77,8
2,9,10,66.5,15,8,148,0,47,9
25,6,3,0,0,6,160,117,130,1
25,6,5,1.75,1.75,6,151,108,119,2
25,6,6,14.75,13,8,143,107,107,3
25,6,2,23.75,9,4,162,123,113,4
25,6,1,0,0,5,167,123,0,0
25,6,4,0,0,7,159,116,0,0
2,10,2,0,0,6,164,97,112,1
2,10,5,1.25,1.25,4,160,93,102,2
2,10,8,2.5,1.25,8,153,87,94,3
2,10,9,8.5,6,4,150,84,86,4
2,10,7,17.5,9,6,157,91,83,5
2,10,1,18,0.5,11,161,97,90,6
2,10,6,18,0.1,7,154,91,82,7
2,10,4,22,4,9,161,94,82,8
2,10,3,30,8,7,163,96,76,9
2,10,10,41,11,7,143,77,45,10
3,6,4,0,0,8,155,97,125,1
3,6,2,7,7,8,165,104,113,2
3,6,3,14,7,10,160,99,99,3
3,6,7,19,5,8,140,79,76,4
3,6,6,22,3,7,141,80,72,5
3,6,1,0,0,6,168,107,0,
25,7,1,0,0,5,157,0,130,1
25,7,4,1.5,1.5,4,150,0,115,2
25,7,3,7.5,6,4,157,0,116,3
25,7,6,11,3.5,4,150,0,106,4
25,7,8,20,9,6,150,0,98,5
25,7,7,25,5,5,150,0,98,6
25,7,2,45,20,5,157,107,98,7
3,9,8,0,0,9,152,104,116,1
3,9,4,1.25,1.25,7,161,113,127,2
3,9,6,10.25,9,8,154,106,108,3
3,9,7,15.25,5,8,153,105,104,4
3,9,5,34.25,19,11,158,110,92,5
3,9,1,35.5,1.25,7,168,120,97,6
3,9,3,56.5,21,11,166,118,74,7
3,9,9,73.5,17,7,150,102,41,8
3,9,2,75.5,2,7,161,118,55,9
24,7,1,0,0,9,158,115,134,1
24,7,4,19,19,9,153,0,109,2
24,7,5,20.5,1.5,6,153,118,106,3
24,7,7,44.5,24,6,153,0,90,4
24,7,3,74.5,30,8,153,93,0,5
24,7,6,0,0,9,153,0,134,
24,7,2,0,0,5,153,0,0,0
3,9,2,0,0,6,166,111,130,1
3,9,5,4,4,5,160,105,119,2
3,9,3,11,7,10,159,111,120,3
3,9,9,14,3,10,146,91,94,4
3,9,4,14.25,0.2,8,155,107,110,5
3,9,1,15.25,1,5,163,113,117,6
3,9,6,16,0.75,7,158,103,105,7
3,9,7,46,30,5,155,100,0,8
3,9,8,0,0,5,149,94,0,0
2,14,12,0,0,5,154,0,129,1
2,14,6,8,8,4,154,0,114,2
2,14,10,11,3,4,154,0,111,3
2,14,5,13,2,5,154,0,109,4
2,14,1,13,0.1,5,164,0,119,5
2,14,4,13.75,0.75,4,149,0,108,6
2,14,11,14.5,0.75,5,154,0,107,7
2,14,8,21.5,7,5,154,0,105,8
2,14,7,24.5,3,6,154,0,97,9
2,14,13,31.5,7,5,154,0,90,10
2,14,2,49.5,18,5,154,0,72,11
2,14,9,56.5,7,4,154,0,65,12
2,14,14,57,0.3,5,142,0,60,13
2,14,3,0,0,6,154,0,0,0
2,5,1,0,0,9,164,123,130,1
2,5,5,1.5,1.5,6,154,0,117,2
2,5,3,7.5,6,5,154,0,111,3
2,5,2,7.5,0.1,8,164,115,120,4
2,5,4,19.5,12,5,154,0,101,5
3,12,9,0,0,6,143,90,108,1
3,12,3,4,4,5,161,107,119,2
3,12,11,5.75,1.75,6,140,87,96,3
3,12,4,7,1.25,7,158,104,113,4
3,12,7,22,15,4,150,97,93,5
3,12,2,24.5,2.5,8,156,109,104,6
3,12,13,42.5,18,5,140,87,60,7
3,12,10,45,2.5,10,143,90,60,8
3,12,8,46.5,1.5,11,150,97,66,9
3,12,5,57.5,11,6,153,102,61,10
3,12,1,87.5,30,8,164,110,0,11
3,12,12,117.5,30,9,133,87,0,12
24,10,8,0,0,7,142,114,127,1
24,10,10,10,10,11,140,112,116,2
24,10,1,16,6,12,168,140,140,3
24,10,3,27,11,8,151,123,108,4
24,10,5,27.75,0.75,6,144,116,99,5
24,10,7,32.75,5,7,143,115,104,6
24,10,2,46.75,14,8,157,129,100,7
24,10,4,52.75,6,6,149,121,89,8
24,10,6,57.75,5,7,139,116,79,9
24,10,9,62.75,5,9,140,112,72,10
3,11,11,0,0,7,149,0,134,1
